iter	Logloss
0	0.6370927393
1	0.5869859138
2	0.5454062209
3	0.5130502754
4	0.4841919969
5	0.4599277503
6	0.4387865887
7	0.4224867086
8	0.4067497982
9	0.3954139599
10	0.3850744339
11	0.3758153875
12	0.3679218002
13	0.3609433382
14	0.3553422543
15	0.3504544924
16	0.3465889275
17	0.3433902391
18	0.3373539032
19	0.334438504
20	0.3320734094
21	0.3292849586
22	0.3270594183
23	0.3251894406
24	0.3235681874
25	0.3222730568
26	0.3210533355
27	0.3193982229
28	0.3171669314
29	0.3162280741
30	0.3154179433
31	0.3146600403
32	0.3139776903
33	0.3132670194
34	0.3125369219
35	0.3116915606
36	0.3112910093
37	0.3105910839
38	0.3097291065
39	0.3091018731
40	0.3084422824
41	0.3079214547
42	0.3075782947
43	0.3072882669
44	0.3063690416
45	0.3060005705
46	0.3057109437
47	0.3052747107
48	0.3049074428
49	0.3045555144
50	0.3041270695
51	0.3031843299
52	0.3027765616
53	0.3023782765
54	0.3020883625
55	0.3017197794
56	0.301051595
57	0.3007266373
58	0.3003990444
59	0.2996775347
60	0.2994844549
61	0.2993319514
62	0.2990190287
63	0.2986582051
64	0.2985424294
65	0.2981556629
66	0.2978962922
67	0.2975638074
68	0.2973435485
69	0.297148308
70	0.2969089207
71	0.2967238857
72	0.2965865809
73	0.2963784797
74	0.2961677353
75	0.2959847084
76	0.2957984344
77	0.2955527185
78	0.2953273758
79	0.2951257862
80	0.2949096267
81	0.2944036958
82	0.2942378838
83	0.2940219059
84	0.2937348505
85	0.2935535944
86	0.293402657
87	0.2931990987
88	0.2930549518
89	0.2928862774
90	0.292696988
91	0.292525349
92	0.2923512206
93	0.2921880496
94	0.2920179783
95	0.2918075043
96	0.2915352961
97	0.2913690469
98	0.2912489106
99	0.2911337315
100	0.290935491
101	0.2907361335
102	0.2906572111
103	0.2904556476
104	0.2902076522
105	0.2900968494
106	0.2898863936
107	0.2897345754
108	0.2894486292
109	0.2892587936
110	0.2888652627
111	0.2887560922
112	0.2886258187
113	0.288462387
114	0.2882864357
115	0.2881780584
116	0.2880977066
117	0.2879294381
118	0.2878206873
119	0.2876826669
120	0.2874726017
121	0.2873383258
122	0.2870435494
123	0.2868822949
124	0.2867424652
125	0.2865108071
126	0.2864042122
127	0.2862792317
128	0.2861327199
129	0.2860439961
130	0.2858884989
131	0.2857354156
132	0.2856453267
133	0.285332715
134	0.2852293524
135	0.2851119692
136	0.2849654503
137	0.2848541223
138	0.2845060884
139	0.2842571563
140	0.2840734418
141	0.2839284898
142	0.2838423977
143	0.2837275054
144	0.2835442443
145	0.2833950129
146	0.2832435593
147	0.2831500925
148	0.2830227518
149	0.2829454896
150	0.2827896935
151	0.2826221172
152	0.2823654304
153	0.2821371478
154	0.2819552976
155	0.2817914396
156	0.2816128636
157	0.2814432074
158	0.2813365987
159	0.2811960011
160	0.2809947602
161	0.280845987
162	0.2806157011
163	0.2804499265
164	0.2802769829
165	0.2799838737
166	0.2798407933
167	0.2797194336
168	0.2794541696
169	0.2792177981
170	0.2789289461
171	0.2787856807
172	0.2787178372
173	0.2785069874
174	0.2783123316
175	0.278136985
176	0.2780136057
177	0.2777399026
178	0.2775685659
179	0.2774836694
180	0.2773424767
181	0.2772789764
182	0.2770985396
183	0.2768343424
184	0.2767452688
185	0.2765595207
186	0.2764612273
187	0.2763485516
188	0.2760491595
189	0.2759762724
190	0.2758387639
191	0.2757300966
192	0.2755813715
193	0.2754240331
194	0.2752607743
195	0.2750844781
196	0.274917195
197	0.2747402734
198	0.2746296742
199	0.2745367612
200	0.2743303824
201	0.2741558859
202	0.2739521151
203	0.2736924029
204	0.27355453
205	0.273410966
206	0.2732728417
207	0.2730948554
208	0.272907324
209	0.2727367226
210	0.2725433992
211	0.2724618163
212	0.2723071362
213	0.2721892827
214	0.2719925847
215	0.2718787006
216	0.2716281304
217	0.2714915024
218	0.2713490778
219	0.2711413191
220	0.2710533123
221	0.2708563209
222	0.2707534184
223	0.2705634866
224	0.2703526085
225	0.2702011255
226	0.2700120543
227	0.2699154055
228	0.2697729131
229	0.2696715633
230	0.2695297708
231	0.2693837411
232	0.2691784103
233	0.2689958196
234	0.2688531252
235	0.2686005306
236	0.268480673
237	0.2683849567
238	0.268259007
239	0.268077071
240	0.2679908418
241	0.2678996713
242	0.2677570984
